grade_unit,will_do
7.6,"""__Modeling Genetic Mechanisms and Trait Variation
Develop and/or use a model to predict what is causing certain organisms to exhibit distinctive traits.
Develop and use a model to construct a scientific explanation based on evidence for how different environmental factors (cause) influence variation in a trait (effect).
Use a model to describe and predict the patterns in variations in traits between parents and offspring in a pedigree.
Develop and use a model to describe the unobservable mechanism of fertilization, in which parents each contribute half of the chromosomes an offspring has, by discerning patterns in the number and types of chromosomes in the sex cells of parents and the body cells of offspring.
Develop and use a model to describe correlational relationships among chromosome pairs containing different gene variants, specific proteins, and observable traits.
Develop a model to show how genetic factors influence (cause) variation in a trait (effect) by controlling the production of specific proteins.
Develop and use models to show multiple causes of variation within a trait.

__ Planning and Conducting Investigations
Plan and carry out an investigation to collect data and uncover patterns that support the idea that chromosome pairs separate when sex cells form and then recombine at fertilization, so each parent contributes half of the genes acquired (at random) by the offspring.
Plan and carry out an investigation to produce data to serve as the basis for evidence that plants have genetic material inside their cells that can be visualized (scale).

_ Asking Questions and Defining Problems
Ask questions that arise from careful observation of organisms with different traits to seek information about what causes these variations in populations.
Ask questions to refine our model explaining the causes of trait variations we see in other organisms.
Ask questions to clarify and refine our model explaining what causes living things to be different from one another.

__ Analyzing and Using Data
Use mathematics and computational thinking to find patterns in genotypic and phenotypic outcomes resulting from crossing individuals with specific genotypes.
Use mathematics and computational thinking to determine the beneficial and harmful effects of selective breeding in sexually reproducing organisms by examining the frequency of certain trait variations and combinations in a population over time.
Analyze and interpret patterns in data to provide evidence that a combination of genes and environment is causing the variation we see in traits.

__ Obtaining, Evaluating, and Communicating Information
Obtain, evaluate, and communicate information from various media and visual displays, including models of complex protein structures, to describe (1) how the function of those proteins depends on their shape and (2) how the cells of organisms with certain traits compare with those of typical organisms.
Obtain, evaluate, and communicate information to determine the effects of environmental and behavioral factors on the development and expression of genetic traits.
Obtain, evaluate, and communicate information regarding the effect of selective breeding in one type of sexually reproducing organism.
Obtain, evaluate, and communicate information about how organisms reproduce asexually and transfer their genetic information to their offspring, which results in offspring with identical genetic information.

__ Constructing Explanations and Engaging in Argument from Evidence
Construct an explanation using a model to explain the influences of environmental and genetic factors on trait variation.
Construct an explanation about how environmental and genetic factors influence the growth of organisms and how organisms reproduce, either sexually or asexually, and transfer their genetic information to their offspring.
Construct an explanation, using a representation of plant reproductive parts, for how these specialized structures support sexual and asexual reproduction in plants (function).
Critically read scientific texts and construct an explanation using models and math to describe how sexual reproduction results in offspring with genetic variation in a given population.

__ Reading and Using Scientific Texts
Critically read scientific texts to obtain evidence that a specific gene is responsible for the production of a particular protein associated with a trait."""
8.1,"""1. Modeling and System Interactions in Collisions
Develop a model to describe interactions between two objects as they collide and show the changes that occur in the structure of both objects when one is damaged and when neither is damaged.
Develop and revise a model to identify other parts of the system the cart and box are contacting or colliding with that produce contact forces and cause energy transfer as the objects travel.
Develop and use subsystem models (e.g., free body diagrams) to represent how peak contact forces on two objects compare in a collision, and how these relate to kinetic energy changes due to variations in mass or speed.
Create free body diagrams and calculate net force to predict the motion of objects in real-world scenarios.

2. Asking Questions and Constructing Explanations
Ask questions that arise from observations of collisions between objects to seek additional information about causal factors that might affect collision outcomes.
Construct explanations for how balanced and unbalanced forces affect an object’s motion, and use force pairs to describe object interactions.
Apply scientific ideas and evidence to explain the causes of motion and kinetic energy changes before and after collisions and how these affect the outcomes.
Construct explanations based on quantitative relationships to evaluate how changes in mass or speed affect peak forces in collisions and whether those collisions result in damage.
Apply science ideas to explain why some collisions result in damage and others do not, based on contributing factors such as energy, material properties, and peak forces.
Apply science ideas and use evidence to explain how peak forces and energy transfer in soccer collisions can cause concussions through sudden cellular-level changes in the brain.

3. Planning and Carrying Out Investigations
Plan and carry out an investigation to collect data that supports a mathematical model showing the relationship between applied force and resulting deformation of an object, while controlling variables.
Plan and conduct an investigation to determine how peak contact forces are affected by the mass or speed of the moving object in a collision.

4. Data Collection, Analysis, and Pattern Recognition
Collect data on changes in motion and shape of colliding objects to provide evidence of energy transfer and contact forces.
Analyze and interpret graphical data from compression tests to distinguish between elastic and permanent deformation and to argue that materials behave elastically up to a certain limit.
Construct, analyze, and interpret graphical displays from simulations to identify:
Linear relationships between mass and kinetic energy.
Nonlinear relationships between speed and kinetic energy.
Analyze and interpret graphical data from real-world collisions to determine how different parameters (e.g., bat type, air resistance) impact the behavior of systems in motion.

5. Argumentation from Evidence
Construct an argument using empirical evidence and scientific reasoning to support a model showing that:
Changes in motion result from energy transfer.
Changes in shape result from contact forces.
Construct and revise a written argument using evidence (slow-motion videos, photos, investigations) to support or refute the claim that all objects bend or change shape when pushed in a collision.
Respectfully provide and receive critiques about collision claims and models to improve explanations for how energy transfers through systems before and after impact.

6. Real-World Applications and Engineering Contexts
Apply scientific ideas to explain baseball phenomena involving:
The effects of air density and wind on ball speed and kinetic energy.
The impact of bat mass versus bat speed, interpreting patterns in data to explain linear and nonlinear kinetic energy increases.
How bat material (and its deformation) affects peak forces and game performance."""
8.2,"""1. Modeling Magnetic Systems and Speaker Components
Develop an initial model to describe how interactions between parts of a speaker system (magnet and coil of wire) cause sound without those parts touching each other.
Develop an initial model to describe how forces and energy transfer in magnetic fields explain cause-and-effect relationships between parts of a speaker system.
Revise a model to describe how changes in a magnetic field due to changing electric current explain interactions in a speaker system (magnet and coil of wire).
Revise a model to explain various phenomena that rely on magnetic forces at a distance using a series of cause-effect relationships.
Use diagrams and simulations to model the patterns of forces experienced by test objects near magnets or wire coils connected to a battery (magnetic fields).
Use a computer interactive to model how adding an electromagnet affects magnetic field patterns in a single magnet system.

2. Questioning and Sensemaking About Magnetic Interactions
Ask questions about how interactions between parts of a speaker system (magnet and coil of wire) produce sound without contact.
Ask questions about cause-and-effect relationships in observed patterns of magnetic field strength and direction during interactions.
Ask questions about how changing the speaker system could affect the strength of magnetic forces in the system.
Ask questions and carry out investigations to understand how energy flows in systems involving a speaker, wire coil, lightbulb, battery, and computer.

3. Planning and Carrying Out Investigations
Plan and carry out an investigation using a cart on a track to determine how changing the distance between magnets affects energy transfer in the magnetic field.
Plan an investigation to produce data supporting hypotheses about the relationship between distance and magnetic forces, identifying independent and dependent variables.
Plan and carry out an investigation to produce data supporting a hypothesis about factors influencing magnetic force strength.
Plan an investigation to determine how changing the type of metal in an electromagnet affects the forces within the system.

4. Data Collection, Interpretation, and Pattern Analysis
Collect data to establish that magnets interact through paired forces that are either attractive or repulsive, and that reversing magnet orientation reverses the direction of forces.
Collect data to show that connecting a coil of wire to a battery causes magnetic interactions similar to those between two magnets.
Analyze and interpret data to identify linear and nonlinear relationships between independent variables (e.g., distance, type of material) and the strength of magnetic forces.
Construct and use graphical displays to identify mathematical patterns in the relationship between distance and magnetic force, using them as evidence to support or refute hypotheses.

5. Hypothesis Generation and Scientific Argumentation
Develop and test hypotheses to produce evidence that energy can transfer between magnets without matter, causing motion.
Construct an argument supported by evidence and reasoning that magnetic energy can transfer through space without needing matter as a medium.
Construct an explanation based on investigation results showing how energy transfer, forces, and potential energy explain the motion in a cart-magnet system.
Critically read scientific text to gather evidence about how electric current from a computer generates changing magnetic fields in speaker systems."""
8.3,"""1. Sound Production and Vibrational Forces
Develop a model to explain how a sound source can make another object move.
Ask questions about patterns in observations to investigate how sound travels and causes movement in other objects.
Analyze and interpret data to identify patterns showing the relationship between applied force and the motion or vibration of an instrument.
Develop a model to describe how a force applied to an instrument causes it to vibrate, repeatedly deforming above and below its original shape, and use the model to make predictions for other instruments.
Use a model to explain how a force applied to an instrument causes vibration and sound, even when vibration is not visible.

2. Argumentation and Evidence for Sound and Vibration
Engage in argument from evidence to support or refute predictions about whether all solid objects vibrate when making sound, even if the vibrations are not visible.
Construct an argument using evidence from graphs to explain which wave patterns (frequency, amplitude) correspond to sound characteristics we perceive.
Respectfully provide and receive critiques to revise claims about whether air is moved all the way from a sound source to a listener or another object (e.g., a window).
Use evidence from investigations to compare competing claims and argue that a medium (solid, liquid, or gas) is needed to transmit sound.

3. Modeling Sound as Wave Energy in a Medium
Develop and use a model to describe unobservable particles in different states of matter and how their interactions transmit energy from a vibrating source.
Develop and use a model to describe how sound causes compressions and expansions in matter, transmitting energy through particle collisions and resulting in movement of distant objects.
Apply mathematical concepts to interpret data generated from models and explore how changes in frequency and amplitude affect wavelength and particle compression patterns.
Apply mathematical reasoning to analyze patterns in graphs and numerical data showing how vibration energy varies with amplitude and/or frequency.

4. Mathematical and Graphical Representations of Sound
Use mathematical representations (e.g., position vs. time graphs) to describe wave patterns and explain object movement associated with louder or softer sounds.
Use mathematical representations to analyze wave patterns for higher-pitched and lower-pitched sounds based on object vibrations.

5. Digital and Analog Signal Transmission
Engage in argument from evidence using models of how digital and analog signals transmit information, applying cause-and-effect reasoning to explain the greater reliability of digital signals in noisy environments.

6. Biological Response to Sound Energy (Ear Anatomy and Function)
Critically read scientific texts to identify the central ideas and patterns in how ear structures transfer energy—from the eardrum, through fluid in the cochlea, to sensory cells that respond to different frequencies and send signals to the brain.
Develop and use a model to explain how loud sounds and high-amplitude sound waves transfer energy in a way that can damage ear structures.

7. Crosscutting with Light (Comparison of Energy Types)
Conduct an investigation to explore how light behaves (e.g., changing path, color, brightness) when interacting with different materials and shapes, and use models to compare how light and sound energy move through systems using cause-and-effect reasoning."""
8.4,"""1. Observing and Modeling Patterns in the Sky
Ask questions about systems in space that arise from observations of patterns in the sky.
Obtain information from images, videos, and podcasts to describe patterns in natural phenomena of objects in the Solar System and beyond, as seen from Earth.
Develop an initial model of systems in space to describe the patterns we observe in the sky.
Use a graphical display (e.g., fisheye projection) to identify temporal and spatial patterns in the sun, moon, and stars across six months from a fixed location on Earth.

2. Cultural and Scientific Understandings of Planetary Motion
Read an article to determine historical observations and cultural connections to the planet Venus.
Construct an explanation of the patterns in Venus’s apparent size and shape as seen from Earth as it orbits the Sun.
Obtain and communicate information about how discoveries from telescopes and satellites provide information about Earth and other objects in space and how these discoveries lead to technological advancement.
Analyze and interpret data to identify scale properties and relationships among planets and some moons in our solar system (e.g., size, orbit, surface features, atmosphere).

3. Earth-Moon-Sun System and Gravitational Interactions
Develop and revise a model of the Earth-Moon system to show the location, strength, and interaction of gravitational forces.
Use simulations of two-object systems to produce and analyze data that reveal how mass and distance affect gravitational force strength between celestial bodies.
Develop and map evidence to support the claim that the solar system formed from a disk of gas and dust, drawn together by gravity and becoming more stable over time.

4. Space Technology and Scientific Advancements
Analyze and communicate information from readings about the Hubble Telescope to explain how advancements in space science lead to everyday technological improvements.
Integrate information from spectral representations to describe the elemental composition of the Sun.
Ask questions based on solar spectra to investigate how and why matter in the universe has changed over time.

5. Atomic Structure, Nuclear Fusion, and Stellar Processes
Integrate information from multiple sources to understand atoms as systems with a positively charged nucleus and surrounding negatively charged electrons.
Develop a model to explain how light from distant stars and the formation of heavier atoms result from changes in atomic nuclei and energy release during nuclear fusion.

6. Organization of the Universe and Cosmic Scale
Compare and critique two arguments that use the same galactic imagery to explain the organization of systems in space.
Obtain and synthesize information from multiple sources about the structure and scale of space systems from human-scale to galactic scale.
Read, evaluate, and communicate information about the Big Bang theory, citing empirical evidence such as:
Spectral patterns showing galaxies receding.
Composition of stars and gases.
Maps of cosmic background radiation.
Develop a model of the universe to show how gravitational forces influence the patterns of motion and organization of objects across spatial scales."""
8.5,
8.6,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
